Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"JLCPCB fees","Production fees",1,96.00,"","JLCPCB"
"JLCPCB fees","Price tolerance inflation",1,5.00,"","JLCPCB"
"Camera ","Testing ",1,10.44,"https://fr.aliexpress.com/item/1005003386791483.html?spm=a2g0o.productlist.main.1.1facfca3isQ0Xi&algo_pvid=2b0a1d28-5aa8-489e-9766-f9634aa28863&algo_exp_id=2b0a1d28-5aa8-489e-9766-f9634aa28863-0&pdp_ext_f=%7B""order""%3A""2144""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D&pdp_npi=6%40dis%21EUR%213.62%210.99%21%21%214.15%211.13%21%40211b813b17782729390364065e89b5%2112000034511448969%21sea%21FR%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3d505027%3Bm03_new_user%3A-29895%3BpisId%3A5000000203225082&curPageLogUid=UVp1q8ZxinQD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003386791483%7C_p_origin_prod%3A","ALIEXPRESS"
"C481407","Crystal",5,1.25,"https://jlcpcb.com/partdetail/NDK-NX3225GA_12MHZ_STD_CRG2/C481407","JLCPCB"
"C5380316","Crystal",6,0.42,"https://jlcpcb.com/partdetail/SST-3225_40M_12PF10PPM/C5380316","JLCPCB"
"C2962011","FLASH SHIP ( 512 Mbits ) ",2,16.15,"https://jlcpcb.com/partdetail/WinbondElec-W25Q512JVFIQ/C2962011","JLCPCB"
"C6798314","USB_HUB ( SL2.1A ) ",2,0.53,"https://jlcpcb.com/partdetail/CoreChips-SL21A/C6798314","JLCPCB"
"C398367","Buck converters",6,0.88,"https://jlcpcb.com/partdetail/TexasInstruments-TLV62569ADRLR/C398367","JLCPCB"
"C22387510","ESP-P4",2,11.58,"https://jlcpcb.com/partdetail/EspressifSystems-ESP32P4NRW32/C22387510","JLCPCB"
"C115357","switch",5,0.66,"https://jlcpcb.com/partdetail/ALPSALPINE-SKRKAEE020/C115357","JLCPCB"
"C137946","resistor",20,0.02,"https://jlcpcb.com/partdetail/YAGEO-RC0402FR076K2L/C137946","JLCPCB"
"C25905","resistor",20,0.02,"https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905","JLCPCB"
"C43251","resistor",20,0.02,"https://jlcpcb.com/partdetail/44242-0402WGF4021TCE/C43251","JLCPCB"
"C25744","resistor",20,0.03,"https://jlcpcb.com/partdetail/26487-0402WGF1002TCE/C25744","JLCPCB"
"C17168","resistor",42,0.03,"https://jlcpcb.com/partdetail/17853-0402WGF0000TCE/C17168","JLCPCB"
"C2998054","resistor",20,0.01,"https://jlcpcb.com/partdetail/FOJAN-FRC0402F4993TS/C2998054","JLCPCB"
"C1035","Inductor",20,0.39,"https://jlcpcb.com/partdetail/Sunlord-SDFL1608S100KTF/C1035","JLCPCB"
"C383389","Inductor",6,0.35,"https://jlcpcb.com/partdetail/TDK-MLZ1005M2R2WT000/C383389","JLCPCB"
"C3020560","USB_C receptacle",4,4.40,"https://jlcpcb.com/partdetail/3542626-USB4105_GFA/C3020560","JLCPCB"
"C22360337","Display and camera connector",5,0.48,"https://jlcpcb.com/partdetail/23804216-FPC0_5B_WTG15P/C22360337","JLCPCB"
"C15195","Capacitor",20,0.03,"https://jlcpcb.com/partdetail/15869-CL05B103KB5NNNC/C15195","JLCPCB"
"C15525","Capacitor",20,0.13,"https://jlcpcb.com/partdetail/16204-CL05A106MQ5NUNC/C15525","JLCPCB"
"C52923","Capacitor",24,0.09,"https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923","JLCPCB"
"C1525","Capacitor",54,0.07,"https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525","JLCPCB"
"C32949","Capacitor",20,0.09,"https://jlcpcb.com/partdetail/33914-CL05C100JB5NNNC/C32949","JLCPCB"
"C415703","Capacitor",10,0.50,"https://jlcpcb.com/partdetail/408393-GRM155R60J226ME11D/C415703","JLCPCB"
"C1555","Capacitor",20,0.03,"https://jlcpcb.com/partdetail/1907-0402CG220J500NT/C1555","JLCPCB"
"C23733","Capacitor",20,0.12,"https://jlcpcb.com/partdetail/24469-CL05A475MP5NRNC/C23733","JLCPCB"
