Designator,Mid X,Mid Y,Rotation,Layer
C1,140.72,-102.43,270.0,top
C10,144.5,-98.42,270.0,top
C11,143.5,-97.63,270.0,top
C12,146.57,-96.1,180.0,top
C13,147.1,-103.53,270.0,top
C14,146.1,-103.53,270.0,top
C15,146.68,-102.1,180.0,top
C16,146.7,-101.15,180.0,top
C17,144.77,-100.85,180.0,top
C18,144.77,-99.85,180.0,top
C19,146.67,-99.8,180.0,top
C2,141.05,-98.95,180.0,top
C20,145.98,-98.85,180.0,top
C21,151.6,-87.25,45.0,top
C22,152.4,-88.55,90.0,top
C23,150.9,-86.55,45.0,top
C24,156.750293,-86.732006,90.0,top
C25,156.75,-88.6,270.0,top
C26,159.82,-91.95,0.0,top
C27,159.83,-92.9,0.0,top
C28,160.02,-94.7,0.0,top
C29,160.57,-98.6,0.0,top
C3,145.12,-102.38,90.0,top
C30,160.57,-99.55,0.0,top
C31,159.87,-103.95,0.0,top
C32,159.87,-104.95,0.0,top
C33,157.45,-104.3,270.0,top
C34,150.9,-104.62,270.0,top
C35,153.1,-104.67,270.0,top
C36,154.8,-104.97,270.0,top
C37,144.4,-72.3,0.0,top
C38,144.45,-71.25,0.0,top
C4,161.8,-108.38,90.0,top
C41,161.989411,-97.989411,315.0,top
C42,162.610589,-96.589411,45.0,top
C43,164.160589,-96.389411,225.0,top
C44,163.65,-94.8,90.0,top
C49,153.589411,-66.260589,225.0,top
C5,160.83,-110.2,180.0,top
C50,152.35,-69.27,90.0,top
C6,163.3,-86.48,270.0,top
C7,145.02,-89.900001,180.0,top
C8,145.02,-90.850001,180.0,top
C9,145.01,-88.950001,180.0,top
J1,140.025,-85.85,270.0,top
J2,141.0,-60.05,180.0,top
J3,152.35,-60.01,180.0,top
J5,151.95,-78.1,180.0,top
J6,169.92,-100.65,180.0,top
J7,137.45,-104.659999,180.0,top
J9,152.59,-114.02,90.0,top
L1,144.17,-102.385,270.0,top
L2,154.7625,-72.0,180.0,top
R1,141.029999,-99.9,180.0,top
R10,144.984999,-86.65,180.0,top
R11,144.985,-84.65,180.0,top
R12,144.984999,-85.65,180.0,top
R13,151.1,-83.059999,270.0,top
R14,152.1,-83.059999,270.0,top
R15,153.1,-83.059999,270.0,top
R16,154.1,-83.059999,270.0,top
R17,156.05,-83.059999,270.0,top
R18,155.05,-83.059999,270.0,top
R19,159.859999,-102.95,0.0,top
R2,139.72,-101.509999,270.0,top
R20,158.45,-104.509999,90.0,top
R21,161.690001,-92.9,180.0,top
R22,145.013972,-91.818136,180.0,top
R25,141.840001,-66.05,180.0,top
R26,138.2,-65.6,180.0,top
R27,152.539376,-65.810624,225.0,top
R28,150.060624,-65.789376,225.0,top
R3,156.4,-104.709999,90.0,top
R35,156.309999,-66.05,180.0,top
R36,156.4,-67.509998,270.0,top
R4,156.85,-106.2,180.0,top
R5,163.3,-90.440001,270.0,top
R6,146.9,-92.059999,270.0,top
R7,144.965001,-82.65,180.0,top
R8,144.984999,-83.65,180.0,top
R9,145.0,-87.65,180.0,top
SW1,163.75,-102.9,0.0,top
U1,153.25,-97.55,180.0,top
U2,142.4075,-101.35,0.0,top
U4,154.9,-67.762499,270.0,top
U6,139.0,-72.15,270.0,top
W25Q512JVFIQ1,166.2,-78.975,270.0,top
Y1,159.575,-107.55,270.0,top
Y2,144.6,-68.649999,270.0,top
